id	name	add_name	description	popup	action	unk1	unk2	unk3	Card	unk_5[0]	unk_5[1]	unk_5[2]	unk_5[3]	unk_5[4]	unk_5[5]	unk_5[6]
17	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
57	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
686	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
687	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
688	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
689	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
690	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
691	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
692	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
693	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
694	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
695	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
696	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
697	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
698	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
699	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
701	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
702	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
703	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
704	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
706	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
707	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
708	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
734	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
735	NoItemName	a,	a,	0	a,	0	-1	0		0	0	0	0	0	0	0
