id	name	add_name	description	popup	action	unk1	unk2	unk3	Card	unk_5[0]	unk_5[1]	unk_5[2]	unk_5[3]	unk_5[4]	unk_5[5]	unk_5[6]
17	ウッドン アロー		木で作られたアロー。ノン グレードのボウに使用できます。	-1	action_equip	0	-1	1		1	1	1	1	7	1	0
57	アデナ			-1	action_none	0	-1	1		1	1	1	1	7	0	0
686	椅子		椅子です。	-1	action_none	0	-1	1		1	1	1	1	7	1	0
687	ダーリングの手紙		ダーリングが書いたラプンツェル宛のラブレターです。ゲートキーパー ラプンツェルに届けてください。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
688	ラプンツェルのハンカチ		ダーリングへの返答として渡されたラプンツェルのハンカチです。ダーリングに届けてください。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
689	アルジエンの詩集		アルジエンが大切にしている詩集で、自作の詩も含まれています。グリーニスに届けてください。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
690	ハーブティエンの歌詞集		ハーブティエンの歌詞集です。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
691	ロマン小説		ロジェリアから預かった本です。ノースウィンデルに渡してください。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
692	アルジエンの手紙		アルジエンがグリーニスへの想いを書いた手紙です。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
693	グリーニスの手紙		グリーニスが書いたアルジエンへの断りの手紙です。アルジエンに届けてください。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
694	材料リスト		オニキス ビーストの血：3個、マナ ヴァンパイアの遺物：2個、ガーゴイルの角：2個と書いてあります。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
695	オニキス ビーストの血		オニキス ビーストの血です。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
696	マナ ヴァンパイアの遺物		マナ ヴァンパイアの抜け殻です。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
697	ガーゴイルの角		ガーゴイルの角です。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
698	退治リスト		オーク、ホブゴブリン、ワーキング ファングスと書いてあります。	-1	action_none	0	-1	1		0	0	1	0	0	0	0
