id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	グレムリン		9C	E8	A9	-1
20002	ウサギ		9C	E8	A9	-1
20003	ゴブリン		9C	E8	A9	-1
20004	インプ		9C	E8	A9	-1
20005	インプ トゥレン		9C	E8	A9	-1
20006	オーク アーチャー		9C	E8	A9	-1
20008	フェリム リザードマン		9C	E8	A9	-1
20009	ヴク オーク		9C	E8	A9	-1
20010	フェリム リザードマン スカウト		9C	E8	A9	-1
20011	ヴク オーク アーチャー		9C	E8	A9	-1
20012	レス ウェアウルフ		9C	E8	A9	-1
20013	ドライアード		9C	E8	A9	-1
20014	フェリム リザードマン ファイター		9C	E8	A9	-1
20017	ヴク オーク ファイター		9C	E8	A9	-1
20018	ファングス ディバウラー		9C	E8	A9	-1
20019	ドライアード リベ		9C	E8	A9	-1
20021	レッド ベアー		9C	E8	A9	-1
20023	ブラック レオパード		9C	E8	A9	-1
20024	ランク リザードマン ファイター		9C	E8	A9	-1
20026	ルーイン ゾンビ		9C	E8	A9	-1
20027	ランク リザードマン スカウト		9C	E8	A9	-1
20028	ジャイアント アイアン スパイダー		9C	E8	A9	-1
20029	ルーイン ゾンビ リーダー		9C	E8	A9	-1
20030	ランク リザードマン		9C	E8	A9	-1
20032	ピンルク		9C	E8	A9	-1
20033	シェード ホラー		9C	E8	A9	-1
20035	トラッカー スケルトン		9C	E8	A9	-1
20036	リレイン		9C	E8	A9	-1
20037	マナ ヴァンパイア		9C	E8	A9	-1
20038	ポイズン スパイダー		9C	E8	A9	-1
20039	ラットマン スカベンジャー		9C	E8	A9	-1
20040	スカー ラットマン		9C	E8	A9	-1
20043	トリムデン		9C	E8	A9	-1
20044	リレイン トゥレン		9C	E8	A9	-1
20045	スケルトン スカウト		9C	E8	A9	-1
20047	スカー ラットマン リーダー		9C	E8	A9	-1
20049	ライカンスロープ		9C	E8	A9	-1
20050	ポイズン プレデター		9C	E8	A9	-1
20051	スケルトン シューター		9C	E8	A9	-1
20053	オル マフム巡察兵		9C	E8	A9	-1
20054	ルーイン スパルトイ		9C	E8	A9	-1
20055	フローティング アイ サーベリアント		9C	E8	A9	-1
20058	オル マフム警備兵		9C	E8	A9	-1
20059	フローティング アイ パトローラー		9C	E8	A9	-1
20060	スパルトイ バーサーカー		9C	E8	A9	-1
20061	オル マフム敗残兵		9C	E8	A9	-1
20062	トゥムラン バグベアー		9C	E8	A9	-1
20063	オル マフム シューター		9C	E8	A9	-1
20065	オル マフム偵察兵		9C	E8	A9	-1
20066	オル マフム将校		9C	E8	A9	-1
20067	フローティング アイ ビューワー		9C	E8	A9	-1
20068	フローティング アイ ビーマー		9C	E8	A9	-1
20069	セル リザードマン スカウト		9C	E8	A9	-1
20070	レッサー バシリスク		9C	E8	A9	-1
20071	セル リザードマン ファイター		9C	E8	A9	-1
20072	バシリスク		9C	E8	A9	-1
20073	オル マフム軍団兵		9C	E8	A9	-1
20075	アントの幼虫		9C	E8	A9	-1
20076	オル マフム指揮官		9C	E8	A9	-1
20078	ウィスパリング ウィンド		9C	E8	A9	-1
20079	アント		9C	E8	A9	-1
20080	アント キャプテン		9C	E8	A9	-1
20081	アント オーバーシーア		9C	E8	A9	-1
20082	ヤング ソルジャー アント		9C	E8	A9	-1
20084	ソルジャー アント パトロール		9C	E8	A9	-1
20086	ソルジャー アント ガード		9C	E8	A9	-1
20087	ソルジャー アント		9C	E8	A9	-1
20088	ソルジャー アント キャプテン		9C	E8	A9	-1
20089	ノーブル アント		9C	E8	A9	-1
20090	ノーブル アント リーダー		9C	E8	A9	-1
20091	ヤング フォックス		9C	E8	A9	-1
20093	オーク ファイター		9C	E8	A9	-1
20094	オーク スナイパー		9C	E8	A9	-1
20096	オーク サブリーダー		9C	E8	A9	-1
20111	ラットマン サブリーダー		9C	E8	A9	-1
20116	フォックス		9C	E8	A9	-1
20119	エルダー フォックス		9C	E8	A9	-1
20120	ウルフ		9C	E8	A9	-1
20130	オーク		9C	E8	A9	-1
20133	バグベアー		9C	E8	A9	-1
20134	ケイブ メイドン		9C	E8	A9	-1
20135	クロコダイル		9C	E8	A9	-1
20136	デス ナイト		9C	E8	A9	-1
20137	ドレイク		9C	E8	A9	-1
20138	ガーゴイル		9C	E8	A9	-1
20139	ジャイアント ビー		9C	E8	A9	-1
20140	ジャイアント リーチ		9C	E8	A9	-1
20141	ジャイアント ワイルド ホッグ		9C	E8	A9	-1
20142	グリフォン		9C	E8	A9	-1
20143	グリズリー		9C	E8	A9	-1
20145	ハーピー		9C	E8	A9	-1
20146	デュラハン		9C	E8	A9	-1
20147	ホブゴブリン		9C	E8	A9	-1
20148	ハングリー スピリッツ		9C	E8	A9	-1
20149	アイアン ゴ－レム		9C	E8	A9	-1
20150	キング バグベアー		9C	E8	A9	-1
20151	コボルド		9C	E8	A9	-1
20152	リザードマン		9C	E8	A9	-1
20153	マジカル ウィーバー		9C	E8	A9	-1
20157	マーシュ スタッカート		9C	E8	A9	-1
20158	メデューサ		9C	E8	A9	-1
20159	ミノタウルス		9C	E8	A9	-1
20161	オエル マフム		9C	E8	A9	-1
20162	オーガ		9C	E8	A9	-1
20166	サキュバス		9C	E8	A9	-1
20167	サーペント スレーブ		9C	E8	A9	-1
20168	シレノス		9C	E8	A9	-1
20169	スケルトン ロイヤル ガード		9C	E8	A9	-1
20170	スパルトイ		9C	E8	A9	-1
20172	シルフ		9C	E8	A9	-1
20173	トロール		9C	E8	A9	-1
20174	ツイン ヘッド ジャイアント		9C	E8	A9	-1
20175	ファングス		9C	E8	A9	-1
20176	ウォーム		9C	E8	A9	-1
20177	ゾンビ		9C	E8	A9	-1
20189	クリスタル ピューマ		9C	E8	A9	-1
20190	スケルトン ラピッド シューター		9C	E8	A9	-1
