id	string
1	u,初めまして。私は$s1です。クックッ、お前は$s2だろ？ヒッヒッヒッ。\0
2	u,$s1--$s2--$s3--$s4//$s5 ヒッヒッヒッ。\0
3	u,活性化\0
4	u,非活性化\0
5	u,$s1/$s2$s3時に次回の使用料を引き落とす。\0
6	u,(<font color="FFAABB">$s1</font>アデナ/$s2日)\0
7	u,$s1<a action="bypass -h menu_select?ask=-270&reply=$s2">非アクティブ</a>$s3\0
8	u,段階\0
9	u,$s1段階\0
10	a,$s1%%\0
1000001	u,侵入者を発見しました。\0
1000002	u,侵入者除去システムを起動します。\0
1000003	u,侵入者除去中．．．\0
1000004	u,致命的なエラーが発生しました。\0
1000005	u,システムを終了します．．．\0
1000006	u,．．．．．．\0
1000007	u,覚えてろ！\0
1000008	u,この屈辱、忘れぬぞ！\0
1000009	u,撤退！\0
1000010	u,戦略的に後退だ！\0
1000011	u,逃げろ！\0
1000012	u,思ったより手強い！\0
1000013	u,覚えておけよ！\0
1000014	u,次こそは、やってやる！\0
1000015	u,くぅ！手強い！\0
1000016	u,侵入者だ！\0
1000017	u,俺を殺しても何にもならないぜ．．．ククク。\0
1000018	u,次こそは必ず．．．\0
1000019	u,なぜ俺ばかり殴るんだ！\0
1000020	u,勘弁してくれ！\0
1000021	u,骨の芯まで痺れるぜっ！\0
1000022	u,俺は殴られ役か！\0
1000023	u,ついて来られるもんなら、ついて来な！\0
1000024	u,降伏だ！\0
1000025	u,あぁ、もうおしまいだ！\0
1000026	u,クソ！首を洗って待っとけ！\0
1000027	u,お、俺を助けてくれるなら、1千万アデナやるぞ！\0
1000028	u,$s1。おのれの無力さを思い知れ！\0
1000029	u,$s1！真の恐怖とは何かを教えてやろう！\0
1000030	u,愚かにも私にたてついた事を後悔させてやろう。$s1！覚悟しろ！\0
1000031	u,$s1。そんな手が通じるとでも思ったのか！\0
1000032	u,汚された私の名誉、必ずや挽回してみせる！\0
1000033	u,哀れな騎士の憎しみを受けてみろ！\0
1000034	u,あわれな偽善者に死を！\0
1000035	u,濡れ衣を晴らすまで決して眠りに付くことなぞ、できぬわ！\0
1000036	u,世の中を呪う者どもよ、私はここだ！\0
1000037	u,お前もさまよえる魂にしてやろう！\0
1000038	u,怨恨と憎悪の力でお前を呪ってやる！\0
1000039	u,グレシアの栄光のために！\0
1000040	u,生意気にも私と力比べをしたいだと？\0
1000041	u,こ、この私が敗北するとは！\0
1000042	u,私はヌルカ様の意思を伝える者だ！ 邪魔だ、どけ！\0
1000043	u,私の前を遮る者は、誰であろうが無事ではいられんぞ！\0
1000044	u,なに！私の邪魔をするのか！\0
1000045	u,私の仲間が復讐してくれるだろう！\0
1000046	u,私たちの神聖な大地を血に染める者！許さんぞ！\0
1000047	u,私の権威に挑戦する愚かな者どもよ、前に出よ！\0
1000048	u,私の創造者．．．私のご主人様に変わりない．．．忠誠を．．．\0
1000049	u,塔の．．．主人．．．私のご主人様．．．ご主人様．．．いずこに？\0
1000050	u,ワタシハ、コアノイシヲ スイコウスルモノ。\0
1000051	u,シンニュウシャヲ、ハカイ、セヨ。\0
1000052	u,ジョウタイ、イジョウ、サドウ、フノウ．．．\0
1000053	u,ベレス様の命に従い．．．お前たちを監視してやろう！\0
1000054	u,裏切り、謀略、殺戮．．．そんなことしか知らない愚かな輩どもよ．．．お前たちを見ていると、ハラワタが煮え返りそうだ。\0
1000055	u,私への挑戦、それはすなわちベレス様に対する挑戦である。\0
1000056	u,ベレス様は、常にお前たちを見ていらっしゃるのだ！\0
1000057	u,世界の破滅が迫っている！ アンタラス様が目を覚ましたぞ！ \0
1000058	u,アンタラス様の意志に逆らう者よ！死ぬがいい！\0
1000059	u,アンタラス様、私の命をお受けください！\0
1000060	u,宝を取り戻すために、地獄の底から舞い戻ったぞ！\0
1000061	u,隠し持っている金銀財宝を我に捧げよ！\0
1000062	u,クハハハ！皆殺しじゃ！\0
1000063	u,ダメだ！まだ宝が．．．\0
1000064	u,ドラゴンバレーを侵犯した者たちよ、決して生きては帰さんぞ！\0
1000065	u,私はアンタラス様の命令を受けてここを守っている守護者だ！\0
1000066	u,許しなくドラゴンバレーに足を踏み入れるとは！死をもって罪を償うがいい！\0
1000067	u,アンタラス様、私の命をお受けください！\0
1000068	u,殺戮の喜び！強奪の快感！ククク、今日も一仕事やってやろうじゃねぇか。\0
1000069	u,世の中は、なんて怖いもの知らずなやつばっかりなんだ！懲らしめてやんぜ！\0
1000070	u,すべての物を手渡すというなら、命だけは助けてやってもいいぜ！\0
1000071	u,この程度のやつに屈服するとはな！\0
1000072	u,ご主人様の命に従い、すべての侵入者を懲らしめるのだ！\0
1000073	u,ご主人様の命に従い、侵入者に死の鉄槌を！\0
1000074	u,死は、しばしの休息に過ぎん。\0
1000075	u,よく聞くがいい！お前たちの時代はもう終わりだ！アンタラス様が目覚めるのだ！\0
1000076	u,お前の頭をアンタラス様に献上してやろう！\0
1000077	u,こ、この私が、未開な種族に負けるとは！\0
1000078	u,闇の支配を背に深淵から戻れり！\0
1000079	u,なんとも憎らしい。\0
1000080	u,ついに安息の時を迎えり。\0
1000081	u,オルフェン様に栄光あれ！\0
1000082	u,オルフェン様の名を聞いてまでも、ここを侵犯しようとするとは、お前ら許すまじ！\0
1000083	u,オルフェン様の地に土足で踏み込んだ罰を受けるのだ！\0
1000084	u,仮にこのように虚しく消えたとしても、お前たちは私がかけた呪いによって一生苦しめられるだろう．．．ククク。\0
1000085	u,神聖な妖精たちの住みかを荒らす者よ、この私が相手になってやろう！\0
1000086	u,我々の住みかを汚す者よ、我の手で葬ってやろう！\0
1000087	u,汝とその手下をこの谷から追い出すまで、私の兄弟たちは決して休むことはないだろう！ \0
1000088	u,ヘストゥイ滅亡のその日まで！\0
1000089	u,勇猛なオークがまだ残っているなら．．それ！やってしまうのだ！\0
1000090	u,息の根を止めてやる！\0
1000091	u,結局、復讐は失敗した ．．．\0
1000092	u,ドワーフのピカピカ輝くミスリル、きれいな宝石！すべて手にいれるのだ！\0
1000093	u,臆病なチビたち、輝く石は、どこにある．．．\0
1000094	u,すべて出せ！きれいな宝石！\0
1000095	u,クッ！あの時逃げていれば．．．\0
1000096	u,破壊、消滅、殺戮、滅亡！破壊、消滅、殺戮、滅亡！\0
1000097	u,破壊！破壊！破壊！破壊！\0
1000098	u,破壊！破壊！破．．．\0
1000099	u,ジャジャーン！帰って来たウザンカ！\0
1000100	u,ワハハハ！この島は今日付けでウザンカ様が頂くのだ！\0
1000101	u,おーっと！おぬし、なかなかやるな\0
1000102	u,く、悔しい．．．こうもあっさりと負けるとは．．．\0
1000103	u,この世の中は恐怖と悲しみで満たされるべきだ．．．\0
1000104	u,私に呪いをかけたこの世の中．．決して許さんぞ！\0
1000105	u,皆に私と同じ苦痛を味あわせてやる！\0
1000106	u,お前にも永遠に解けることのない呪いをかけてやろう！\0
1000107	u,同胞を殺すやつらに復讐を！\0
1000108	u,臆病なやつは消えうせろ！勇敢なやつはかかって来い！\0
1000109	u,ベレス様から力を与えられた私が簡単にやられるとでも思っているのか！\0
1000110	u,私はこうやって消えていくが．．．もう一人の私がお前たちを倒しに来るであろう！\0
1000111	u,お前ら、俺様の縄張を見回りして来い！\0
1000112	u,近頃、俺様の縄張で好き勝手な事をやってるやつがいるそうだ．．．\0
1000113	u,俺様が誰だかわかるか！俺がまさしくシロッコ様だ！お前ら、やっちまえ！\0
1000114	u,こんなはずでは．．．不敗のシロッコがお前ごときに負けるとは！\0
1000115	u,腹へったー、キュルル～\0
1000116	u,餌の臭いがするぞ、キュルル～\0
1000117	u,キュルル～\0
1000118	u,ここの蜂蜜はどんな味かな？\0
1000119	u,うっとりするほど甘いと言われている、黄金の蜂蜜を出せ！\0
1000120	u,蜂蜜を出せば、命だけは助けてやるぞ\0
1000121	u,蜂蜜さえ見つかっていれば．．．.お前なんかに負けなかったはずだ。\0
1000122	u,裏切り者のクロボロスはどこだ！\0
1000123	u,周りをくまなく探せ！\0
