tag	quest_id	quest_prog	quest_name	prog_name	description	item_id_cnt	items[0]	items[1]	items[2]	items[3]	items[4]	items[5]	items[6]	items[7]	items[8]	item_unk_cnt	items_unk[0]	items_unk[1]	items_unk[2]	items_unk[3]	items_unk[4]	items_unk[5]	items_unk[6]	items_unk[7]	items_unk[8]	item_count_cnt	item_count[0]	item_count[1]	item_count[2]	item_count[3]	item_count[4]	item_count[5]	item_count[6]	item_count[7]	item_count[8]	quest_x	quest_y	quest_z	quest_pos_cnt	quest_x_1[0]	quest_x_1[1]	quest_x_1[2]	quest_x_1[3]	quest_x_1[4]	quest_x_1[5]	quest_x_1[6]	quest_x_1[7]	quest_x_1[8]	quest_y_1[0]	quest_y_1[1]	quest_y_1[2]	quest_y_1[3]	quest_y_1[4]	quest_y_1[5]	quest_y_1[6]	quest_y_1[7]	quest_y_1[8]	quest_z_1[0]	quest_z_1[1]	quest_z_1[2]	quest_z_1[3]	quest_z_1[4]	quest_z_1[5]	quest_z_1[6]	quest_z_1[7]	quest_z_1[8]	UNK_2	UNK_VAL[0]	UNK_VAL[1]	UNK_VAL[2]	UNK_VAL[3]	UNK_VAL[4]	UNK_VAL[5]	UNK_VAL[6]	UNK_VAL[7]	UNK_VAL[8]	lvl_min	lvl_max	quest_type	entity_name	get_item_in_quest	UNK_3	UNK_4	UNK_5	contact_npc_id	contact_npc_x	contact_npc_y	contact_npc_z	restricions	short_description	req_class_cnt	UNK_6	req_class[0]	req_class[1]	req_class[2]	req_class[3]	req_class[4]	req_class[5]	req_class[6]	req_class[7]	req_class[8]	req_class[9]	req_class[10]	req_class[11]	req_class[12]	req_class[13]	req_class[14]	req_class[15]	req_class[16]	req_class[17]	req_class[18]	req_class[19]	req_class[20]	req_class[21]	req_class[22]	req_class[23]	req_class[24]	req_class[25]	req_class[26]	req_class[27]	req_class[28]	req_class[29]	req_class[30]	req_class[31]	req_class[32]	req_class[33]	req_class[34]	req_class[35]	req_class[36]	req_class[37]	req_class[38]	req_class[39]	req_class[40]	req_class[41]	req_class[42]	req_class[43]	req_class[44]	req_class[45]	req_class[46]	req_class[47]	req_class[48]	req_class[49]	req_class[50]	req_class[51]	req_class[52]	req_class[53]	req_class[54]	req_class[55]	req_class[56]	req_class[57]	req_class[58]	req_class[59]	req_class[60]	req_class[61]	req_class[62]	req_class[63]	req_class[64]	req_class[65]	req_class[66]	req_class[67]	req_class[68]	req_class_2[0]	req_class_2[1]	req_class_2[2]	req_class_2[3]	req_class_2[4]	req_class_2[5]	req_class_2[6]	req_class_2[7]	req_class_2[8]	req_class_2[9]	req_class_2[10]	req_class_2[11]	req_class_2[12]	req_class_2[13]	req_class_2[14]	req_class_2[15]	req_class_2[16]	req_class_2[17]	req_class_2[18]	req_class_2[19]	req_class_2[20]	req_class_2[21]	req_class_2[22]	req_class_2[23]	req_class_2[24]	req_class_2[25]	req_class_2[26]	req_class_2[27]	req_class_2[28]	req_class_2[29]	req_class_2[30]	req_class_2[31]	req_class_2[32]	req_class_2[33]	req_class_2[34]	req_class_2[35]	req_class_2[36]	req_class_2[37]	req_class_2[38]	req_class_2[39]	req_class_2[40]	req_class_2[41]	req_class_2[42]	req_class_2[43]	req_class_2[44]	req_class_2[45]	req_class_2[46]	req_class_2[47]	req_class_2[48]	req_class_2[49]	req_class_2[50]	req_class_2[51]	req_class_2[52]	req_class_2[53]	req_class_2[54]	req_class_2[55]	req_class_2[56]	req_class_2[57]	req_class_2[58]	req_class_2[59]	req_class_2[60]	req_class_2[61]	req_class_2[62]	req_class_2[63]	req_item_cnt	req_item[0]	req_item[1]	clan_pet_quest	req_quest_complete	UNK_7	area_id	UNK_8	reward_id_cnt	reward_id[0]	reward_id[1]	reward_count_cnt	reward_count[0]	reward_count[1]	UNK_9[0]	UNK_9[1]	parent_step_cnt	parent_step[0]	parent_step[1]
1	1	1	u,ラブレターの配達\0	u,ラブレター配達\0	u,話せる島の青年ダーリングはゲートキーパー ラプンツェルに片思いをしていますが、勇気がないので自らの気持ちを告白出来ずにいます。ダーリングは自分に代わってラプンツェルにラブレターを渡してほしいと頼みました。\\n\0	0										0										0										-84108.00000000	244604.00000000	-3729.00000000	0																												0										2	5	3	u,ゲートキーパー ラプンツェル\0	0	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,必要条件なし\0	u,話せる島の青年ダーリングはゲートキーパー ラプンツェルに片思いをしている。しかし勇気がないダーリングはその思いを伝えられずに迷っている。\0	0																																																																																																																																							0			0	0	0	30	0	1	49039		1	1		0		1	0	
1	1	2	u,ラブレターの配達\0	u,ラプンツェルのハンカチ\0	u,ダーリングの手紙を貰ったラプンツェルもダーリングに好意を抱いていると言い、返事の代わりにハンカチを渡してほしいと頼みました。\\nラプンツェルのハンカチを持って村広場のダーリングに会いに行きましょう。\\n\0	0										0										0										-84436.00000000	242793.00000000	-3729.00000000	0																												0										2	5	3	u,ダーリング\0	0	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,必要条件なし\0	u,話せる島の青年ダーリングはゲートキーパー ラプンツェルに片思いをしている。しかし勇気がないダーリングはその思いを伝えられずに迷っている。\0	0																																																																																																																																							0			0	0	0	30	0	1	49039		1	1		0		1	1	
1	1	3	u,ラブレターの配達\0	u,バウロの魔法のポーション\0	u,ラプンツェルの気持ちを知ったダーリングは大いに喜び、彼女に会って交際を申し込むと言いました。しかしまず、マジスター バウロから貰う予定の魔法のポーションがあるから自分の代わりに神殿に行き、ポーションを取ってきてほしいと頼みます。\\n\0	0										0										0										-84729.00000000	245001.00000000	-3726.00000000	0																												0										2	5	3	u,マジスター バウロ\0	0	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,必要条件なし\0	u,話せる島の青年ダーリングはゲートキーパー ラプンツェルに片思いをしている。しかし勇気がないダーリングはその思いを伝えられずに迷っている。\0	0																																																																																																																																							0			0	0	0	30	0	1	49039		1	1		0		1	2	
1	1	4	u,ラブレターの配達\0	u,勇気を導く水\0	u,マジスター バウロは自分がダーリングに勇気を与えようとついた嘘でただの井戸水が入った薬ビンをくれました。これを村広場のダーリングに渡しましょう。\\n\0	0										0										0										-84436.00000000	242793.00000000	-3729.00000000	0																												0										2	5	3	u,ダーリング\0	0	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,必要条件なし\0	u,話せる島の青年ダーリングはゲートキーパー ラプンツェルに片思いをしている。しかし勇気がないダーリングはその思いを伝えられずに迷っている。\0	0																																																																																																																																							0			0	0	0	30	0	1	49039		1	1		0		1	3	
1	1	-1	u,ラブレターの配達\0	a,	a,	0										0										0										0.00000000	0.00000000	0.00000000	0																												0										2	5	3	a,	1	1	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	u,必要条件なし\0	u,話せる島の青年ダーリングはゲートキーパー ラプンツェルに片思いをしている。しかし勇気がないダーリングはその思いを伝えられずに迷っている。\0	0																																																																																																																																							0			0	0	0	30	0	1	49039		1	1		0		1	4	
1	2	1	u,女性の心\0	u,アルジエンの手紙\0	u,エルフの青年アルジエンはマジスター グリーニスに昔から思いを抱いていると告白し、自分の代わりにグリニスの気持ちを確かめてほしい頼みました。まずはグリニスの妹のゲートキーパー ミントに会い、アルジエンの手紙を見せましょう。\\n\0	0										0										0										46926.00000000	51511.00000000	-2977.00000000	0																												0										2	5	3	u,ゲートキーパー ミンティエル\0	0	1	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,エルフ、ヒューマン\0	u,エルフ村の青年アルジエンは昔からマジスター グリーニスに思いを抱いている。しかしグリニス本人の思いは分からないままだった。周りの人から明かされる彼女の思いとは．．．？\0	49		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																																																					0			0	0	0	67	0	1	49040		1	1		0		1	0	
1	2	2	u,女性の心\0	u,ハーブティエン叔父様\0	u,ゲートキーパー ミントは自分には関係のない事と言い、商人ハーブティエンに会って聞いてみるといいと言いました。魔法雑貨商店のハーブティエンに会い、アルジエンの手紙を見せましょう。\\n\0	0										0										0										42766.00000000	50037.00000000	-2984.00000000	0																												0										2	5	3	u,ハーブティエン\0	0	1	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,エルフ、ヒューマン\0	u,エルフ村の青年アルジエンは昔からマジスター グリーニスに思いを抱いている。しかしグリニス本人の思いは分からないままだった。周りの人から明かされる彼女の思いとは．．．？\0	49		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																																																					0			0	0	0	67	0	1	49040		1	1		0		1	1	
1	2	3	u,女性の心\0	u,叔父の助言\0	u,商人ハーブティエンはマジスター グリーニスがアルジエンに好意を抱いているらしいと言います。アルジエンのところに戻り、これを伝えましょう。\\n\0	0										0										0										42978.00000000	49115.00000000	-2994.00000000	0																												0										2	5	3	u,アルジエン\0	0	1	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,エルフ、ヒューマン\0	u,エルフ村の青年アルジエンは昔からマジスター グリーニスに思いを抱いている。しかしグリニス本人の思いは分からないままだった。周りの人から明かされる彼女の思いとは．．．？\0	49		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																																																					0			0	0	0	67	0	1	49040		1	1		0		1	2	
1	2	4	u,女性の心\0	u,心は詩となって\0	u,アルジエンはグリニスに贈り物を渡そうと自作の詩集を準備し、それを渡してほしいと頼みました。アルジエンの詩集を持ってマジスター グリーニスに会いましょう。\\n\0	0										0										0										45000.00000000	52101.00000000	-2795.00000000	0																												0										2	5	3	u,マジスター グリーニス\0	0	1	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,エルフ、ヒューマン\0	u,エルフ村の青年アルジエンは昔からマジスター グリーニスに思いを抱いている。しかしグリニス本人の思いは分からないままだった。周りの人から明かされる彼女の思いとは．．．？\0	49		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																																																					0			0	0	0	67	0	1	49040		1	1		0		1	3	
1	2	5	u,女性の心\0	u,断りの手紙\0	u,マジスター グリーニスには既に愛する人がおり、アルジエンの気持ちには答えられないと言いました。グリニスが書いた断りの手紙をアルジエンに渡しましょう。\\n\0	0										0										0										42978.00000000	49115.00000000	-2994.00000000	0																												0										2	5	3	u,アルジエン\0	0	1	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	u,エルフ、ヒューマン\0	u,エルフ村の青年アルジエンは昔からマジスター グリーニスに思いを抱いている。しかしグリニス本人の思いは分からないままだった。周りの人から明かされる彼女の思いとは．．．？\0	49		0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																																																					0			0	0	0	67	0	1	49040		1	1		0		1	4	
