name	id_mk	id_recipe	level	id_item	count	UNK[0]	UNK[1]	mp_cost	success_rate	mat_cnt	item_1	count_1	unk_1	item_2	count_2	unk_2	item_3	count_3	unk_3	item_4	count_4	unk_4	item_5	count_5	unk_5	item_6	count_6	unk_6	item_7	count_7	unk_7	item_8	count_8	unk_8	item_9	count_9	unk_9	item_10	count_10	unk_10
a,mk_wooden_arrow\0	1	1666	1	17	500	1	0	30	100	2	1864	4	0	1869	2	0																								
a,mk_broad_sword\0	2	1786	1	3	1	1	0	30	100	7	1786	1	0	2005	10	0	36521	2	0	36541	1	4108	36546	1	0	36561	1	0	34994	34	0									
a,mk_willow_staff\0	3	1787	1	8	1	1	0	30	100	7	1787	1	0	2006	10	0	36521	2	0	36541	1	4108	36546	1	0	36561	1	0	34994	34	0									
a,mk_bow\0	4	1788	1	14	1	1	0	30	100	7	1788	1	0	2007	10	0	36521	2	0	36541	1	4108	36546	1	0	36561	1	0	34994	34	0									
a,mk_cedar_staff\0	5	1789	1	9	1	1	0	45	100	7	1789	1	0	2008	10	0	36521	8	0	36541	4	4108	36546	4	0	36561	3	0	34994	146	0									
a,mk_dirk\0	6	1790	1	216	1	1	0	45	100	7	1790	1	0	2009	10	0	36521	8	0	36541	4	4108	36546	4	0	36561	3	0	34994	146	0									
a,mk_brandish\0	7	1791	1	1333	1	1	0	45	100	7	1791	1	0	2010	10	0	36521	8	0	36541	4	4108	36546	4	0	36561	3	0	34994	146	0									
a,mk_short_spear\0	8	1792	1	15	1	1	0	60	100	7	1792	1	0	2011	10	0	36521	21	0	36541	10	4108	36546	9	0	36561	6	0	34994	368	0									
a,mk_sword_of_reflexion\0	9	1793	1	120	1	1	0	60	100	7	1793	1	0	2012	10	0	36521	21	0	36541	10	4108	36546	9	0	36561	6	0	34994	368	0									
a,mk_bow_of_forest\0	10	1794	1	272	1	1	0	60	100	7	1794	1	0	2013	10	0	36521	21	0	36541	10	4108	36546	9	0	36561	6	0	34994	368	0									
a,mk_leather_shoes\0	11	1795	1	37	1	1	0	45	100	7	1795	1	0	1921	10	0	36516	2	0	36536	1	4095	36551	1	0	36561	1	0	34994	8	0									
