name	id_mk	id_recipe	level	id_item	count	UNK[0]	UNK[1]	mp_cost	success_rate	mat_cnt	item_1	count_1	unk_1	item_2	count_2	unk_2	item_3	count_3	unk_3	item_4	count_4	unk_4	item_5	count_5	unk_5	item_6	count_6	unk_6	item_7	count_7	unk_7	item_8	count_8	unk_8	item_9	count_9	unk_9	item_10	count_10	unk_10	item_11	count_11	unk_11	item_12	count_12	unk_12
mk_wooden_arrow	1	1666	1	17	500	1	0	30	100	2	1864	4	0	1869	2	0																														
mk_broad_sword	2	1786	1	3	1	1	0	30	100	7	1786	1	0	2005	10	0	36521	1	0	36541	1	4108	36546	1	0	36561	1	0	34994	7	0															
mk_willow_staff	3	1787	1	8	1	1	0	30	100	7	1787	1	0	2006	10	0	36521	1	0	36541	1	4108	36546	1	0	36561	1	0	34994	7	0															
mk_bow	4	1788	1	14	1	1	0	30	100	7	1788	1	0	2007	10	0	36521	1	0	36541	1	4108	36546	1	0	36561	1	0	34994	7	0															
mk_cedar_staff	5	1789	1	9	1	1	0	45	100	7	1789	1	0	2008	10	0	36521	2	0	36541	1	4108	36546	1	0	36561	1	0	34994	30	0															
mk_dirk	6	1790	1	216	1	1	0	45	100	7	1790	1	0	2009	10	0	36521	2	0	36541	1	4108	36546	1	0	36561	1	0	34994	30	0															
mk_brandish	7	1791	1	1333	1	1	0	45	100	7	1791	1	0	2010	10	0	36521	2	0	36541	1	4108	36546	1	0	36561	1	0	34994	30	0															
mk_short_spear	8	1792	1	15	1	1	0	60	100	7	1792	1	0	2011	10	0	36521	5	0	36541	2	4108	36546	2	0	36561	2	0	34994	74	0															
mk_sword_of_reflexion	9	1793	1	120	1	1	0	60	100	7	1793	1	0	2012	10	0	36521	5	0	36541	2	4108	36546	2	0	36561	2	0	34994	74	0															
mk_bow_of_forest	10	1794	1	272	1	1	0	60	100	7	1794	1	0	2013	10	0	36521	5	0	36541	2	4108	36546	2	0	36561	2	0	34994	74	0															
mk_leather_shoes	11	1795	1	37	1	1	0	45	100	7	1795	1	0	1921	10	0	36516	1	0	36536	1	4095	36551	1	0	36561	1	0	34994	2	0															
mk_leather_tunic	12	1796	1	429	1	1	0	45	100	7	1796	1	0	1922	10	0	36516	1	0	36536	1	4095	36551	1	0	36561	1	0	34994	5	0															
mk_leather_hose	13	1797	1	464	1	1	0	45	100	7	1797	1	0	1923	10	0	36516	1	0	36536	1	4095	36551	1	0	36561	1	0	34994	3	0															
mk_leather_helmet	14	1798	1	44	1	1	0	60	100	7	1798	1	0	1924	10	0	36516	1	0	36536	1	4095	36551	1	0	36561	1	0	34994	6	0															
mk_leather_gloves	15	1799	1	50	1	1	0	60	100	7	1799	1	0	1925	10	0	36516	1	0	36536	1	4095	36551	1	0	36561	1	0	34994	4	0															
mk_piece_bone_breastplate	16	1800	1	25	1	1	0	63	100	7	1800	1	0	1926	10	0	36521	1	0	36541	1	4108	36551	1	0	36561	1	0	34994	18	0															
mk_piece_bone_gaiters	17	1801	1	32	1	1	0	63	100	7	1801	1	0	1928	10	0	36521	1	0	36541	1	4108	36551	1	0	36561	1	0	34994	11	0															
mk_necklace_of_anguish	18	1802	1	907	1	1	0	45	100	6	1802	1	0	1896	10	0	36521	1	0	36556	1	0	36561	1	0	34994	3	0																		
mk_necklace_of_wisdom	19	1803	1	908	1	1	0	60	100	6	1803	1	0	1897	10	0	36521	1	0	36556	1	0	36561	1	0	34994	7	0																		
mk_soulshot_d	20	1804	2	1463	468	1	0	72	100	2	1785	9	0	1458	3	0																														
mk_soulshot_c	21	1805	4	1464	952	1	0	84	100	2	1785	30	0	1459	2	0																														
mk_soulshot_b	22	1806	6	1465	450	1	0	100	100	2	1785	54	0	1460	1	0																														
mk_soulshot_a	23	1807	7	1466	300	1	0	120	100	2	1785	36	0	1461	1	0																														
mk_soulshot_s	24	1808	8	1467	350	1	0	150	100	2	1785	40	0	1462	1	0																														
mk_leather	25	1814	1	1882	1	1	0	10	100	1	1867	6	0																																	
mk_cord	26	1817	2	1884	20	1	0	20	100	2	1880	2	30	1868	25	0																														
mk_oriharukon	27	1825	4	1893	1	1	0	40	100	3	1888	1	36	1873	12	0	1874	4	0																											
mk_braided_hemp	28	2135	1	1878	1	1	0	10	100	1	1864	5	0																																	
mk_cokes	29	2136	1	1879	1	1	0	10	100	2	1870	3	0	1871	3	0																														
mk_steel	30	2137	1	1880	1	1	0	10	100	2	1865	5	0	1869	5	0																														
mk_coarse_bone_powder	31	2138	1	1881	1	1	0	10	100	1	1872	10	0																																	
mk_steel_mold	32	2139	2	1883	1	1	0	20	100	3	1878	5	28	1869	5	0	1870	5	0																											
mk_high_grade_suede	33	2140	2	1885	1	1	0	20	100	2	1881	1	31	1866	3	0																														
mk_silver_mold	34	2141	2	1886	1	1	0	20	100	3	1878	5	28	1879	5	29	1873	10	0																											
mk_varnish_of_purity	35	2142	2	1887	1	1	0	20	100	3	1881	3	31	1865	3	0	1875	1	0																											
mk_synthesis_cokes	36	2143	2	1888	1	1	0	20	100	2	1879	3	29	1874	1	0																														
mk_compound_braid	37	2144	2	1889	1	1	0	20	100	2	1878	5	28	1868	5	0																														
mk_mithirl_alloy	38	2145	4	1890	1	1	0	40	100	3	1887	1	35	1880	2	30	1876	1	0																											
mk_artisan's_frame	39	2146	4	1891	1	1	0	40	100	3	1883	1	32	1887	5	35	1877	10	0																											
mk_blacksmith's_frame	40	2147	4	1892	1	1	0	40	100	3	1886	1	34	1887	5	35	1876	10	0																											
mk_crafted_leather	41	2148	4	1894	1	1	0	40	100	3	1884	4	26	1882	4	25	1870	4	0																											
mk_metallic_fiber	42	2149	4	1895	20	1	0	40	100	2	1884	20	26	1873	15	0																														
mk_blue_diamond_necklace	43	2150	1	909	1	1	0	72	100	6	2150	1	0	1898	10	0	36521	2	0	36556	1	0	36561	1	0	34994	12	0																		
mk_necklace_of_devotion	44	2151	2	910	1	1	0	84	100	7	2151	1	0	1899	10	0	36521	3	0	36556	2	0	36561	1	0	2130	1	0	1458	2	0															
mk_enchanted_necklace	45	2152	2	911	1	1	0	96	100	7	2152	1	0	1900	10	0	36521	4	0	36556	3	0	36561	1	0	2130	2	0	1458	3	0															
mk_tiger'seye_earing	46	2153	3	849	1	1	0	108	100	7	2153	1	0	1901	10	0	36521	4	0	36556	3	0	36561	1	0	2130	2	0	1458	4	0															
mk_elven_earing	47	2154	3	850	1	1	1	120	100	7	2154	1	0	1902	10	0	36521	6	0	36556	4	0	36561	1	0	2130	3	0	1458	5	0															
mk_elven_ring	48	2155	3	881	1	1	1	120	100	7	2155	1	0	1903	10	0	36521	4	0	36556	3	0	36561	1	0	2130	2	0	1458	4	0															
mk_elven_necklace	49	2156	3	913	1	1	1	120	100	7	2156	1	0	1904	10	0	36521	8	0	36556	5	0	36561	2	0	2130	3	0	1458	7	0															
mk_onyxbeast'seye_earing	50	2157	4	851	1	1	1	129	100	7	2157	1	0	1905	10	0	36521	8	0	36556	5	0	36561	2	0	2130	3	0	1458	6	0															
mk_mithril_ring	51	2158	4	882	1	1	1	129	100	7	2158	1	0	1906	10	0	36521	5	0	36556	3	0	36561	1	0	2130	2	0	1458	4	0															
mk_necklace_of_darkness	52	2159	4	914	1	1	1	129	100	7	2159	1	0	1907	10	0	36521	10	0	36556	6	0	36561	2	0	2130	4	0	1458	8	0															
mk_moonstone_earing	53	2160	4	852	1	1	1	138	100	7	2160	1	0	1908	10	0	36522	1	0	36557	1	0	36562	1	0	2131	2	0	1459	2	0															
mk_aquastone_ring	54	2161	4	883	1	1	1	138	100	7	2161	1	0	1909	10	0	36522	1	0	36557	1	0	36562	1	0	2131	1	0	1459	2	0															
mk_aquastone_necklace	55	2162	4	915	1	1	1	138	100	7	2162	1	0	1910	10	0	36522	1	0	36557	1	0	36562	1	0	2131	2	0	1459	3	0															
mk_earing_of_protection	56	2163	5	853	1	1	1	147	100	7	2163	1	0	1911	10	0	36522	1	0	36557	1	0	36562	1	0	2131	2	0	1459	3	0															
mk_ring_of_protection	57	2164	5	884	1	1	1	147	100	7	2164	1	0	1912	10	0	36522	1	0	36557	1	0	36562	1	0	2131	2	0	1459	2	0															
