name	id_mk	id_recipe	level	id_item	count	UNK[0]	UNK[1]	mp_cost	success_rate	mat_cnt	item_1	count_1	unk_1	item_2	count_2	unk_2	item_3	count_3	unk_3	item_4	count_4	unk_4	item_5	count_5	unk_5	item_6	count_6	unk_6	item_7	count_7	unk_7	item_8	count_8	unk_8	item_9	count_9	unk_9	item_10	count_10	unk_10	item_11	count_11	unk_11	item_12	count_12	unk_12
a,mk_wooden_arrow\0	1	1666	1	17	500	1	0	30	100	2	1864	4	0	1869	2	0																														
a,mk_broad_sword\0	2	1786	1	3	1	1	0	30	100	3	2005	1	0	1869	18	0	1870	18	0																											
a,mk_willow_staff\0	3	1787	1	8	1	1	0	30	100	4	2006	1	0	1869	12	0	1872	24	0	1864	12	0																								
a,mk_bow\0	4	1788	1	14	1	1	0	30	100	4	2007	1	0	1869	20	0	1878	4	28	1866	4	0																								
a,mk_cedar_staff\0	5	1789	1	9	1	1	0	45	100	4	2008	2	0	1869	55	0	1872	110	0	1864	55	0																								
a,mk_dirk\0	6	1790	1	216	1	1	0	45	100	3	2009	2	0	1869	80	0	1870	80	0																											
a,mk_brandish\0	7	1791	1	1333	1	1	0	45	100	3	2010	2	0	1869	110	0	1870	55	0																											
a,mk_short_spear\0	8	1792	1	15	1	1	0	60	100	4	2011	3	0	1869	220	0	1870	110	0	1866	55	0																								
a,mk_sword_of_reflexion\0	9	1793	1	120	1	1	0	60	100	3	2012	3	0	1869	200	0	1870	200	0																											
a,mk_bow_of_forest\0	10	1794	1	272	1	1	0	60	100	4	2013	3	0	1869	225	0	1878	45	28	1866	45	0																								
a,mk_leather_shoes\0	11	1795	1	37	1	1	0	45	100	3	1921	2	0	1867	8	0	1866	1	0																											
a,mk_leather_tunic\0	12	1796	1	429	1	1	0	45	100	3	1922	2	0	1867	24	0	1868	12	0																											
a,mk_leather_hose\0	13	1797	1	464	1	1	0	45	100	3	1923	2	0	1867	12	0	1868	12	0																											
a,mk_leather_helmet\0	14	1798	1	44	1	1	0	60	100	3	1924	3	0	1866	15	0	1867	12	0																											
a,mk_leather_gloves\0	15	1799	1	50	1	1	0	60	100	3	1925	3	0	1867	24	0	1866	3	0																											
a,mk_piece_bone_breastplate\0	16	1800	1	25	1	1	0	63	100	3	1926	3	0	1883	3	32	1869	30	0																											
a,mk_piece_bone_gaiters\0	17	1801	1	32	1	1	0	63	100	3	1928	3	0	1883	2	32	1872	14	0																											
a,mk_necklace_of_anguish\0	18	1802	1	907	1	1	0	45	100	3	1896	2	0	1864	20	0	1865	4	0																											
a,mk_necklace_of_wisdom\0	19	1803	1	908	1	1	0	60	100	3	1897	3	0	1864	50	0	1865	10	0																											
