id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
20001	u,グレムリン\0	a,	9C	E8	A9	-1
20002	u,ウサギ\0	a,	9C	E8	A9	-1
20003	u,ゴブリン\0	a,	9C	E8	A9	-1
20004	u,インプ\0	a,	9C	E8	A9	-1
20005	u,インプ トゥレン\0	a,	9C	E8	A9	-1
20006	u,オーク アーチャー\0	a,	9C	E8	A9	-1
20007	u,グリーン ファングス\0	a,	9C	E8	A9	-1
20008	u,フェリム リザードマン\0	a,	9C	E8	A9	-1
20009	u,ヴク オーク\0	a,	9C	E8	A9	-1
20010	u,フェリム リザードマン スカウト\0	a,	9C	E8	A9	-1
20011	u,ヴク オーク アーチャー\0	a,	9C	E8	A9	-1
20012	u,レス ウェアウルフ\0	a,	9C	E8	A9	-1
20013	u,ドライアード\0	a,	9C	E8	A9	-1
20014	u,フェリム リザードマン ファイター\0	a,	9C	E8	A9	-1
20015	u,マーシュ エルフ ゾンビ\0	a,	9C	E8	A9	-1
20016	u,ストーン ゴーレム\0	a,	9C	E8	A9	-1
20017	u,ヴク オーク ファイター\0	a,	9C	E8	A9	-1
20018	u,ファングス ディバウラー\0	a,	9C	E8	A9	-1
20019	u,ドライアード リベ\0	a,	9C	E8	A9	-1
20020	u,マーシュ エルフ ゾンビ ポインター\0	a,	9C	E8	A9	-1
20021	u,レッド ベアー\0	a,	9C	E8	A9	-1
20022	u,スリル サッカー\0	a,	9C	E8	A9	-1
20023	u,ブラック レオパード\0	a,	9C	E8	A9	-1
20024	u,ランク リザードマン ファイター\0	a,	9C	E8	A9	-1
20025	u,レッサー ダーク ホラー\0	a,	9C	E8	A9	-1
20026	u,ルーイン ゾンビ\0	a,	9C	E8	A9	-1
20027	u,ランク リザードマン スカウト\0	a,	9C	E8	A9	-1
20028	u,ジャイアント アイアン スパイダー\0	a,	9C	E8	A9	-1
20029	u,ルーイン ゾンビ リーダー\0	a,	9C	E8	A9	-1
20030	u,ランク リザードマン\0	a,	9C	E8	A9	-1
20031	u,オニキス ビースト\0	a,	9C	E8	A9	-1
20032	u,ピンルク\0	a,	9C	E8	A9	-1
20033	u,シェード ホラー\0	a,	9C	E8	A9	-1
20034	u,ストッペル\0	a,	9C	E8	A9	-1
20035	u,トラッカー スケルトン\0	a,	9C	E8	A9	-1
20036	u,リレイン\0	a,	9C	E8	A9	-1
20037	u,マナ ヴァンパイア\0	a,	9C	E8	A9	-1
20038	u,ポイズン スパイダー\0	a,	9C	E8	A9	-1
20039	u,ラットマン スカベンジャー\0	a,	9C	E8	A9	-1
20040	u,スカー ラットマン\0	a,	9C	E8	A9	-1
20041	u,狂気の歪み\0	a,	9C	E8	A9	-1
20042	u,トラッカー スケルトン リーダー\0	a,	9C	E8	A9	-1
20043	u,トリムデン\0	a,	9C	E8	A9	-1
20044	u,リレイン トゥレン\0	a,	9C	E8	A9	-1
20045	u,スケルトン スカウト\0	a,	9C	E8	A9	-1
20046	u,スティンク ゾンビ\0	a,	9C	E8	A9	-1
20047	u,スカー ラットマン リーダー\0	a,	9C	E8	A9	-1
20048	u,レッサー サキュバス\0	a,	9C	E8	A9	-1
20049	u,ライカンスロープ\0	a,	9C	E8	A9	-1
20050	u,ポイズン プレデター\0	a,	9C	E8	A9	-1
20051	u,スケルトン シューター\0	a,	9C	E8	A9	-1
20052	u,レッサー サキュバス トゥレン\0	a,	9C	E8	A9	-1
20053	u,オル マフム 巡察兵\0	a,	9C	E8	A9	-1
20054	u,ルーイン スパルトイ\0	a,	9C	E8	A9	-1
20055	u,フローティング アイ サーベリアント\0	a,	9C	E8	A9	-1
20056	u,ドレ バヌル ディスポーザー\0	a,	9C	E8	A9	-1
20057	u,レッサー サキュバス ティルフォ\0	a,	9C	E8	A9	-1
20058	u,オル マフム 警備兵\0	a,	9C	E8	A9	-1
20059	u,フローティング アイ パトローラー\0	a,	9C	E8	A9	-1
20060	u,スパルトイ バーサーカー\0	a,	9C	E8	A9	-1
20061	u,オル マフム 敗残兵\0	a,	9C	E8	A9	-1
20062	u,トゥムラン バグベアー\0	a,	9C	E8	A9	-1
20063	u,オル マフム シューター\0	a,	9C	E8	A9	-1
20064	u,トゥムラン バグベアー ファイター\0	a,	9C	E8	A9	-1
20065	u,オル マフム 偵察兵\0	a,	9C	E8	A9	-1
20066	u,オル マフム 将校\0	a,	9C	E8	A9	-1
20067	u,フローティング アイ ビューワー\0	a,	9C	E8	A9	-1
20068	u,フローティング アイ ビーマー\0	a,	9C	E8	A9	-1
20069	u,セル リザードマン スカウト\0	a,	9C	E8	A9	-1
20070	u,レッサー バシリスク\0	a,	9C	E8	A9	-1
20071	u,セル リザードマン ファイター\0	a,	9C	E8	A9	-1
20072	u,バシリスク\0	a,	9C	E8	A9	-1
20073	u,オル マフム 軍団兵\0	a,	9C	E8	A9	-1
20074	u,アンドロスコーピオ\0	a,	9C	E8	A9	-1
20075	u,アントの幼虫\0	a,	9C	E8	A9	-1
20076	u,オル マフム 指揮官\0	a,	9C	E8	A9	-1
20077	u,アンドロスコーピオ ハンター\0	a,	9C	E8	A9	-1
20078	u,ウィスパリング ウィンド\0	a,	9C	E8	A9	-1
20079	u,アント\0	a,	9C	E8	A9	-1
20080	u,アント キャプテン\0	a,	9C	E8	A9	-1
20081	u,アント オーバーシーア\0	a,	9C	E8	A9	-1
20082	u,ヤング ソルジャーアント\0	a,	9C	E8	A9	-1
20084	u,ソルジャーアント パトロール\0	a,	9C	E8	A9	-1
20085	u,パンチャー\0	a,	9C	E8	A9	-1
20086	u,ソルジャーアント ガード\0	a,	9C	E8	A9	-1
20087	u,ソルジャーアント\0	a,	9C	E8	A9	-1
20088	u,ソルジャーアント キャプテン\0	a,	9C	E8	A9	-1
20089	u,ノーブル アント\0	a,	9C	E8	A9	-1
20090	u,ノーブル アント リーダー\0	a,	9C	E8	A9	-1
20091	u,ヤング フォックス\0	a,	9C	E8	A9	-1
20092	u,フローティング アイ\0	a,	9C	E8	A9	-1
20093	u,オーク ファイター\0	a,	9C	E8	A9	-1
20094	u,オーク スナイパー\0	a,	9C	E8	A9	-1
20095	u,バンパイア バット\0	a,	9C	E8	A9	-1
20096	u,オーク サブ リーダー\0	a,	9C	E8	A9	-1
20097	u,タスクド バット\0	a,	9C	E8	A9	-1
20098	u,オーク リーダー\0	a,	9C	E8	A9	-1
20099	u,スケルトン\0	a,	9C	E8	A9	-1
20100	u,スケルトン アーチャー\0	a,	9C	E8	A9	-1
20101	u,クラッシャー\0	a,	9C	E8	A9	-1
20102	u,スケルトン スナイパー\0	a,	9C	E8	A9	-1
20103	u,ジャイアント スパイダー\0	a,	9C	E8	A9	-1
20104	u,スケルトン ポインター\0	a,	9C	E8	A9	-1
20105	u,ダーク ホラー\0	a,	9C	E8	A9	-1
20106	u,ポーカー\0	a,	9C	E8	A9	-1
20107	u,ラットマン\0	a,	9C	E8	A9	-1
20108	u,ブレーダー\0	a,	9C	E8	A9	-1
20109	u,サラマンダー\0	a,	9C	E8	A9	-1
20110	u,ウンディーネ\0	a,	9C	E8	A9	-1
20111	u,ラットマン サブ リーダー\0	a,	9C	E8	A9	-1
20112	u,サラマンダー リベ\0	a,	9C	E8	A9	-1
20113	u,ウンディーネ リベ\0	a,	9C	E8	A9	-1
20114	u,サラマンダー イバル\0	a,	9C	E8	A9	-1
20115	u,ウンディーネ イバル\0	a,	9C	E8	A9	-1
20116	u,フォックス\0	a,	9C	E8	A9	-1
20117	u,ドレ バヌル\0	a,	9C	E8	A9	-1
20118	u,ドレ バヌル スカウター\0	a,	9C	E8	A9	-1
20119	u,エルダー フォックス\0	a,	9C	E8	A9	-1
20120	u,ウルフ\0	a,	9C	E8	A9	-1
20121	u,ジャイアント トード\0	a,	9C	E8	A9	-1
20130	u,オーク\0	a,	9C	E8	A9	-1
20131	u,オーク グラント\0	a,	9C	E8	A9	-1
20132	u,ウェアウルフ\0	a,	9C	E8	A9	-1
20133	u,バグベアー\0	a,	9C	E8	A9	-1
20134	u,ケイブ メイデン\0	a,	9C	E8	A9	-1
20135	u,クロコダイル\0	a,	9C	E8	A9	-1
20136	u,デス ナイト\0	a,	9C	E8	A9	-1
20137	u,ドレイク\0	a,	9C	E8	A9	-1
20138	u,ガーゴイル\0	a,	9C	E8	A9	-1
20139	u,ジャイアント ビー\0	a,	9C	E8	A9	-1
20140	u,ジャイアント リーチ\0	a,	9C	E8	A9	-1
20141	u,ジャイアント ワイルド ホッグ\0	a,	9C	E8	A9	-1
20142	u,グリフォン\0	a,	9C	E8	A9	-1
20143	u,グリズリー\0	a,	9C	E8	A9	-1
20145	u,ハーピー\0	a,	9C	E8	A9	-1
20146	u,デュラハン\0	a,	9C	E8	A9	-1
20147	u,ホブゴブリン\0	a,	9C	E8	A9	-1
20148	u,ハングリー スピリッツ\0	a,	9C	E8	A9	-1
20149	u,アイアン ゴ－レム\0	a,	9C	E8	A9	-1
20150	u,キング バグベアー\0	a,	9C	E8	A9	-1
20151	u,コボルド\0	a,	9C	E8	A9	-1
20152	u,リザードマン\0	a,	9C	E8	A9	-1
20153	u,マジカル ウィーバー\0	a,	9C	E8	A9	-1
20157	u,マーシュ スタッカート\0	a,	9C	E8	A9	-1
20158	u,メデューサ\0	a,	9C	E8	A9	-1
20159	u,ミノタウルス\0	a,	9C	E8	A9	-1
20161	u,オエル マフム\0	a,	9C	E8	A9	-1
20162	u,オーガ\0	a,	9C	E8	A9	-1
20163	u,オル マフム\0	a,	9C	E8	A9	-1
20164	u,オル マフム アーチャー\0	a,	9C	E8	A9	-1
20165	u,オル マフム チャンピオン\0	a,	9C	E8	A9	-1
20166	u,サキュバス\0	a,	9C	E8	A9	-1
20167	u,サーペント スレーブ\0	a,	9C	E8	A9	-1
20168	u,シレノス\0	a,	9C	E8	A9	-1
20169	u,スケルトン ロイヤル ガード\0	a,	9C	E8	A9	-1
20170	u,スパルトイ\0	a,	9C	E8	A9	-1
20172	u,シルフ\0	a,	9C	E8	A9	-1
20173	u,トロール\0	a,	9C	E8	A9	-1
20174	u,ツイン ヘッド ジャイアント\0	a,	9C	E8	A9	-1
20175	u,ファングス\0	a,	9C	E8	A9	-1
20176	u,ウォーム\0	a,	9C	E8	A9	-1
20177	u,ゾンビ\0	a,	9C	E8	A9	-1
20189	u,クリスタル ピューマ\0	a,	9C	E8	A9	-1
20190	u,スケルトン ラピッド シューター\0	a,	9C	E8	A9	-1
20191	u,スケルトン レイダー\0	a,	9C	E8	A9	-1
20192	u,タイラント\0	a,	9C	E8	A9	-1
20193	u,エルダー タイラント\0	a,	9C	E8	A9	-1
20194	u,クイーン ウンディーネ\0	a,	9C	E8	A9	-1
20199	u,エンバー バシリスク\0	a,	9C	E8	A9	-1
20203	u,ディオン グリズリー\0	a,	9C	E8	A9	-1
20204	u,ブラッド ビー\0	a,	9C	E8	A9	-1
20205	u,ダイアー ウルフ\0	a,	9C	E8	A9	-1
20206	u,カディフ ウェアウルフ\0	a,	9C	E8	A9	-1
20207	u,オル マフム ゲリラ\0	a,	9C	E8	A9	-1
20208	u,オル マフム レイダー\0	a,	9C	E8	A9	-1
20209	u,オル マフム スナイパー\0	a,	9C	E8	A9	-1
20210	u,オル マフム サブ リーダー\0	a,	9C	E8	A9	-1
20211	u,オル マフム リーダー\0	a,	9C	E8	A9	-1
20212	u,ブラッディアックス トゥーマック\0	u,オル マフム ロード\0	9C	E8	A9	-1
20213	u,ポルタ\0	a,	9C	E8	A9	-1
20214	u,エックスクロ\0	a,	9C	E8	A9	-1
20215	u,モルデオ\0	a,	9C	E8	A9	-1
20216	u,リケンセオ\0	a,	9C	E8	A9	-1
20217	u,クラトル\0	a,	9C	E8	A9	-1
20218	u,プレモ\0	a,	9C	E8	A9	-1
20219	u,バルディウス\0	a,	9C	E8	A9	-1
20220	u,ディコール\0	a,	9C	E8	A9	-1
20221	u,ペルーン\0	a,	9C	E8	A9	-1
20222	u,トルフェ\0	a,	9C	E8	A9	-1
20224	u,オル マフム レインジャー\0	a,	9C	E8	A9	-1
20225	u,ミスト ジャイアント リーチ\0	a,	9C	E8	A9	-1
20226	u,グレイ アント\0	a,	9C	E8	A9	-1
20227	u,ミスト ホラー リッパー\0	a,	9C	E8	A9	-1
20228	u,クリムゾン アント\0	a,	9C	E8	A9	-1
20229	u,ウィアード ビー\0	a,	9C	E8	A9	-1
20230	u,マーシュ スタッカート ワーカー\0	a,	9C	E8	A9	-1
20231	u,インピキオ\0	a,	9C	E8	A9	-1
20232	u,マーシュ スタッカート ソルジャー\0	a,	9C	E8	A9	-1
20233	u,マーシュ スパイダー\0	a,	9C	E8	A9	-1
20234	u,マーシュ スタッカート ドローン\0	a,	9C	E8	A9	-1
20235	u,シャックル\0	a,	9C	E8	A9	-1
20236	u,ケイブ サーバント\0	a,	9C	E8	A9	-1
20237	u,ケイブ サーバント アーチャー\0	a,	9C	E8	A9	-1
20238	u,ケイブ サーバント ファイター\0	a,	9C	E8	A9	-1
20239	u,ケイブ サーバント リーダー\0	a,	9C	E8	A9	-1
20240	u,ロイヤル ケイブ サーバント\0	a,	9C	E8	A9	-1
20241	u,ハンター ガーゴイル\0	a,	9C	E8	A9	-1
20242	u,ダスト ウィンド\0	a,	9C	E8	A9	-1
20243	u,サンダー ウォーム\0	a,	9C	E8	A9	-1
20244	u,マルック サキュバス\0	a,	9C	E8	A9	-1
20245	u,マルック サキュバス トゥレン\0	a,	9C	E8	A9	-1
20246	u,ケイブ キーパー\0	a,	9C	E8	A9	-1
