name	id_mk	id_recipe	level	id_item	count	mp_cost	success_rate	materials_cnt	materials_extra	materials_m[0]_id	materials_m[0]_cnt	materials_m[1]_id	materials_m[1]_cnt	materials_m[2]_id	materials_m[2]_cnt	materials_m[3]_id	materials_m[3]_cnt	materials_m[4]_id	materials_m[4]_cnt	materials_m[5]_id	materials_m[5]_cnt	materials_m[6]_id	materials_m[6]_cnt	materials_m[7]_id	materials_m[7]_cnt
a,mk_wooden_arrow\0	1	1666	1	17	500	30	100	2	0	1864	4	1869	2												
a,mk_broad_sword\0	2	1786	1	3	1	30	100	5	0	1786	1	2005	10	34990	2	1879	1	34994	20						
a,mk_willow_staff\0	3	1787	1	8	1	30	100	5	0	1787	1	2006	10	34990	2	1879	1	34994	20						
a,mk_bow\0	4	1788	1	14	1	30	100	5	0	1788	1	2007	10	34990	2	1879	1	34994	20						
a,mk_cedar_staff\0	5	1789	1	9	1	45	100	5	0	1789	1	2008	10	34990	9	1879	4	34994	84						
a,mk_dirk\0	6	1790	1	216	1	45	100	5	0	1790	1	2009	10	34990	9	1879	4	34994	84						
a,mk_brandish\0	7	1791	1	1333	1	45	100	5	0	1791	1	2010	10	34990	9	1879	4	34994	84						
a,mk_short_spear\0	8	1792	1	15	1	60	100	5	0	1792	1	2011	10	34990	21	1879	9	34994	210						
a,mk_sword_of_reflexion\0	9	1793	1	120	1	60	100	5	0	1793	1	2012	10	34990	21	1879	9	34994	210						
a,mk_bow_of_forest\0	10	1794	1	272	1	60	100	5	0	1794	1	2013	10	34990	21	1879	9	34994	210						
a,mk_leather_shoes\0	11	1795	1	37	1	45	100	5	0	1795	1	1921	10	34991	2	1879	1	34994	5						
a,mk_leather_tunic\0	12	1796	1	429	1	45	100	5	0	1796	1	1922	10	34991	4	1879	1	34994	13						
a,mk_leather_hose\0	13	1797	1	464	1	45	100	5	0	1797	1	1923	10	34991	2	1879	1	34994	8						
a,mk_leather_helmet\0	14	1798	1	44	1	60	100	5	0	1798	1	1924	10	34991	4	1879	1	34994	16						
a,mk_leather_gloves\0	15	1799	1	50	1	60	100	5	0	1799	1	1925	10	34991	3	1879	1	34994	11						
a,mk_piece_bone_breastplate\0	16	1800	1	25	1	63	100	5	0	1800	1	1926	10	34991	13	1879	3	34994	49						
a,mk_piece_bone_gaiters\0	17	1801	1	32	1	63	100	5	0	1801	1	1928	10	34991	8	1879	2	34994	31						
a,mk_necklace_of_anguish\0	18	1802	1	907	1	45	100	5	0	1802	1	1896	10	34992	2	1879	1	34994	8						
a,mk_necklace_of_wisdom\0	19	1803	1	908	1	60	100	5	0	1803	1	1897	10	34992	5	1879	1	34994	19						
a,mk_soulshot_d\0	20	1804	2	1463	468	72	100	2	0	1785	9	1458	3												
a,mk_soulshot_c\0	21	1805	4	1464	952	84	100	2	0	1785	30	1459	2												
a,mk_soulshot_b\0	22	1806	6	1465	450	100	100	2	0	1785	54	1460	1												
a,mk_soulshot_a\0	23	1807	7	1466	300	120	100	2	0	1785	36	1461	1												
a,mk_soulshot_s\0	24	1808	8	1467	350	150	100	2	0	1785	40	1462	1												
a,mk_leather\0	25	1814	1	1882	1	10	100	1	0	1867	6														
a,mk_cord\0	26	1817	2	1884	20	20	100	2	0	1880	2	1868	25												
a,mk_oriharukon\0	27	1825	4	1893	1	40	100	3	0	1888	1	1873	12	1874	4										
a,mk_braided_hemp\0	28	2135	1	1878	1	10	100	1	0	1864	5														
a,mk_cokes\0	29	2136	1	1879	1	10	100	2	0	1870	3	1871	3												
a,mk_steel\0	30	2137	1	1880	1	10	100	2	0	1865	5	1869	5												
a,mk_coarse_bone_powder\0	31	2138	1	1881	1	10	100	1	0	1872	10														
a,mk_steel_mold\0	32	2139	2	1883	1	20	100	3	0	1878	5	1869	5	1870	5										
a,mk_high_grade_suede\0	33	2140	2	1885	1	20	100	2	0	1881	1	1866	3												
a,mk_silver_mold\0	34	2141	2	1886	1	20	100	3	0	1878	5	1879	5	1873	10										
a,mk_varnish_of_purity\0	35	2142	2	1887	1	20	100	3	0	1881	3	1865	3	1875	1										
a,mk_synthesis_cokes\0	36	2143	2	1888	1	20	100	2	0	1879	3	1874	1												
a,mk_compound_braid\0	37	2144	2	1889	1	20	100	2	0	1878	5	1868	5												
a,mk_mithirl_alloy\0	38	2145	4	1890	1	40	100	3	0	1887	1	1880	2	1876	1										
a,mk_artisan's_frame\0	39	2146	4	1891	1	40	100	3	0	1883	1	1887	5	1877	10										
a,mk_blacksmith's_frame\0	40	2147	4	1892	1	40	100	3	0	1886	1	1887	5	1876	10										
a,mk_crafted_leather\0	41	2148	4	1894	1	40	100	3	0	1884	4	1882	4	1870	4										
a,mk_metallic_fiber\0	42	2149	4	1895	20	40	100	2	0	1884	20	1873	15												
a,mk_blue_diamond_necklace\0	43	2150	1	909	1	72	100	5	0	2150	1	1898	10	34992	9	1879	2	34994	33						
a,mk_necklace_of_devotion\0	44	2151	2	910	1	84	100	6	0	2151	1	1899	10	34992	20	1879	4	1458	6	2130	4				
a,mk_enchanted_necklace\0	45	2152	2	911	1	96	100	6	0	2152	1	1900	10	34992	31	1879	6	1458	10	2130	7				
a,mk_tiger'seye_earing\0	46	2153	3	849	1	108	100	6	0	2153	1	1901	10	34992	35	1879	6	1458	11	2130	7				
a,mk_elven_earing\0	47	2154	3	850	1	120	100	6	0	2154	1	1902	10	34992	51	1879	9	1458	16	2130	11				
a,mk_elven_ring\0	48	2155	3	881	1	120	100	6	0	2155	1	1903	10	34992	34	1879	6	1458	11	2130	7				
